route_id,direction_id,hour,trip_count,avg_headway_min,min_headway_min
C,0,14,8,7.5,7.0
C,0,15,7,8.571428571428571,7.5
C,0,16,6,10.0,9.5
C,0,17,6,10.0,9.0
C,0,18,5,12.0,9.5
C,0,19,7,8.571428571428571,7.5
C,0,20,7,8.571428571428571,8.5
C,0,21,6,10.0,9.0
C,0,22,2,30.0,14.5
C,1,5,4,15.0,10.5
C,1,6,6,10.0,9.5
C,1,7,6,10.0,9.5
C,1,8,6,10.0,8.0
C,1,9,7,8.571428571428571,7.5
C,1,10,8,7.5,7.0
C,1,11,7,8.571428571428571,7.0
C,1,12,8,7.5,7.5
C,1,13,7,8.571428571428571,7.5
C,1,14,7,8.571428571428571,6.5
C,1,15,6,10.0,9.0
C,1,16,6,10.0,8.0
C,1,17,6,10.0,8.5
C,1,18,7,8.571428571428571,9.0
C,1,19,6,10.0,8.5
C,1,20,6,10.0,9.0
C,1,21,7,8.571428571428571,8.0
C,1,22,1,60.0,60.0
D,0,0,3,20.0,19.5
D,0,1,3,20.0,20.0
D,0,2,3,20.0,20.0
D,0,3,3,20.0,20.0
D,0,4,3,20.0,20.0
D,0,5,5,12.0,10.0
D,0,6,7,8.571428571428571,7.0
D,0,7,10,6.0,0.5
D,0,8,7,8.571428571428571,5.5
D,0,9,7,8.571428571428571,5.5
D,0,10,9,6.666666666666667,4.5
D,0,11,7,8.571428571428571,7.5
D,0,12,8,7.5,6.5
D,0,13,8,7.5,5.5
D,0,14,7,8.571428571428571,7.5
D,0,15,7,8.571428571428571,7.0
D,0,16,8,7.5,6.0
D,0,17,8,7.5,7.0
D,0,18,7,8.571428571428571,5.5
D,0,19,8,7.5,6.0
D,0,20,6,10.0,7.5
D,0,21,5,12.0,11.5
D,0,22,4,15.0,11.0
D,0,23,5,12.0,12.5
D,1,0,3,20.0,19.5
D,1,1,3,20.0,20.0
D,1,2,3,20.0,20.0
D,1,3,3,20.0,20.0
D,1,4,3,20.0,20.0
D,1,5,5,12.0,11.5
D,1,6,6,10.0,4.5
D,1,7,6,10.0,8.0
D,1,8,10,6.0,1.0
D,1,9,8,7.5,4.5
D,1,10,8,7.5,6.5
D,1,11,7,8.571428571428571,7.5
D,1,12,8,7.5,7.0
D,1,13,7,8.571428571428571,7.0
D,1,14,8,7.5,6.5
D,1,15,7,8.571428571428571,5.5
D,1,16,9,6.666666666666667,3.5
D,1,17,8,7.5,6.0
D,1,18,7,8.571428571428571,7.0
D,1,19,7,8.571428571428571,5.5
D,1,20,6,10.0,8.5
D,1,21,7,8.571428571428571,7.0
D,1,22,5,12.0,11.5
D,1,23,4,15.0,14.5
E,0,0,5,12.0,12.0
E,0,1,3,20.0,20.0
E,0,2,3,20.0,20.0
E,0,3,3,20.0,20.0
E,0,4,3,20.0,20.0
E,0,5,4,15.0,14.0
E,0,6,6,10.0,6.5
E,0,7,12,5.0,3.5
E,0,8,15,4.0,3.0
E,0,9,11,5.454545454545454,3.5
E,0,10,11,5.454545454545454,4.0
E,0,11,10,6.0,4.5
E,0,12,9,6.666666666666667,4.5
E,0,13,8,7.5,6.5
E,0,14,10,6.0,5.0
E,0,15,10,6.0,4.5
E,0,16,13,4.615384615384615,3.0
E,0,17,14,4.285714285714286,3.0
E,0,18,12,5.0,4.0
E,0,19,12,5.0,4.0
E,0,20,11,5.454545454545454,3.5
E,0,21,8,7.5,5.5
E,0,22,7,8.571428571428571,8.0
E,0,23,5,12.0,10.0
E,1,0,3,20.0,20.0
E,1,1,3,20.0,20.0
E,1,2,3,20.0,20.0
E,1,3,3,20.0,20.0
E,1,4,3,20.0,20.0
E,1,5,6,10.0,7.0
E,1,6,10,6.0,5.0
E,1,7,15,4.0,2.0
E,1,8,13,4.615384615384615,4.0
E,1,9,10,6.0,3.5
E,1,10,10,6.0,6.0
E,1,11,10,6.0,5.5
E,1,12,8,7.5,6.5
E,1,13,9,6.666666666666667,6.0
E,1,14,10,6.0,4.0
E,1,15,13,4.615384615384615,3.0
E,1,16,14,4.285714285714286,2.5
E,1,17,12,5.0,3.0
E,1,18,12,5.0,5.0
E,1,19,12,5.0,5.0
E,1,20,9,6.666666666666667,3.5
E,1,21,6,10.0,10.0
E,1,22,6,10.0,6.5
E,1,23,5,12.0,10.0
F,0,0,3,20.0,15.5
F,0,1,3,20.0,20.0
F,0,2,3,20.0,17.5
F,0,3,3,20.0,20.0
F,0,4,4,15.0,15.5
F,0,5,5,12.0,10.5
F,0,6,9,6.666666666666667,0.5
F,0,7,10,6.0,0.5
F,0,8,12,5.0,2.5
F,0,9,9,6.666666666666667,5.0
F,0,10,9,6.666666666666667,1.0
F,0,11,9,6.666666666666667,4.5
F,0,12,9,6.666666666666667,5.0
F,0,13,9,6.666666666666667,6.0
F,0,14,9,6.666666666666667,3.0
F,0,15,12,5.0,0.5
F,0,16,14,4.285714285714286,0.5
F,0,17,12,5.0,0.5
F,0,18,11,5.454545454545454,2.5
F,0,19,12,5.0,3.0
F,0,20,9,6.666666666666667,4.0
F,0,21,7,8.571428571428571,6.0
F,0,22,6,10.0,7.0
F,0,23,5,12.0,12.0
F,1,0,4,15.0,19.0
F,1,1,3,20.0,20.0
F,1,2,3,20.0,20.0
F,1,3,3,20.0,20.0
F,1,4,2,30.0,20.0
F,1,5,6,10.0,8.0
F,1,6,11,5.454545454545454,4.5
F,1,7,15,4.0,4.0
F,1,8,13,4.615384615384615,4.0
F,1,9,10,6.0,5.5
F,1,10,10,6.0,6.0
F,1,11,8,7.5,6.5
F,1,12,9,6.666666666666667,7.0
F,1,13,9,6.666666666666667,6.0
F,1,14,8,7.5,6.5
F,1,15,9,6.666666666666667,4.5
F,1,16,10,6.0,4.0
F,1,17,12,5.0,5.0
F,1,18,12,5.0,4.5
F,1,19,11,5.454545454545454,5.0
F,1,20,9,6.666666666666667,5.5
F,1,21,6,10.0,9.5
F,1,22,7,8.571428571428571,5.5
F,1,23,4,15.0,12.0
FS,0,0,3,20.0,20.0
FS,0,1,3,20.0,20.0
FS,0,2,3,20.0,20.0
FS,0,3,3,20.0,20.0
FS,0,4,3,20.0,20.0
FS,0,5,3,20.0,20.0
FS,0,6,5,12.0,10.0
FS,0,7,6,10.0,10.0
FS,0,8,6,10.0,10.0
FS,0,9,6,10.0,10.0
FS,0,10,6,10.0,10.0
