date,route,direction,hour,baseline_trips,opt_trips,predicted_demand,lambda_opt,target
2026-01-15,7,0,16,10.0,15,13427.263801306959,260.0,balanced
2026-01-15,7,0,17,13.0,19,15708.643621627976,260.0,balanced
2026-01-15,7,0,18,9.0,14,11641.93449469683,260.0,balanced
2026-01-15,7,0,19,10.0,15,10241.096616683784,260.0,balanced
2026-01-15,7,0,20,7.0,12,8198.801518283426,260.0,balanced
2026-01-15,7,0,21,9.0,14,6561.238358431306,260.0,balanced
2026-01-15,7,0,22,12.0,18,4887.449531736805,260.0,balanced
2026-01-15,7,0,23,9.0,14,2808.3025176380756,260.0,balanced
2026-01-15,7,1,0,3.0,8,1379.2194090301625,260.0,balanced
2026-01-15,7,1,1,3.0,8,587.0497233738803,260.0,balanced
2026-01-15,7,1,2,3.0,7,407.9866317077159,260.0,balanced
2026-01-15,7,1,3,3.0,8,597.7164761469053,260.0,balanced
2026-01-15,7,1,4,5.0,10,2185.6188481024174,260.0,balanced
2026-01-15,7,1,5,9.0,14,8175.482380097106,260.0,balanced
2026-01-15,7,1,6,13.0,19,15914.690859937553,260.0,balanced
2026-01-15,7,1,7,14.0,21,27067.037899394712,260.0,balanced
2026-01-15,7,1,8,12.0,18,28402.77523669683,260.0,balanced
2026-01-15,7,1,9,8.0,13,18302.691323098108,260.0,balanced
2026-01-15,7,1,10,12.0,18,8882.446154084553,260.0,balanced
2026-01-15,7,1,11,12.0,18,7368.539145496666,260.0,balanced
2026-01-15,7,1,12,12.0,18,7601.597422706554,260.0,balanced
2026-01-15,7,1,13,12.0,18,8631.164199337278,260.0,balanced
2026-01-15,7,1,14,12.0,18,10540.54175680362,260.0,balanced
2026-01-15,7,1,15,15.0,22,12602.334153749505,260.0,balanced
2026-01-15,7,1,16,22.0,33,13427.263801306959,260.0,balanced
2026-01-15,7,1,17,24.0,36,15708.643621627976,260.0,balanced
2026-01-15,7,1,18,19.0,28,11641.93449469683,260.0,balanced
2026-01-15,7,1,19,17.0,25,10241.096616683784,260.0,balanced
2026-01-15,7,1,20,17.0,25,8198.801518283426,260.0,balanced
2026-01-15,7,1,21,12.0,18,6561.238358431306,260.0,balanced
2026-01-15,7,1,22,11.0,16,4887.449531736805,260.0,balanced
2026-01-15,7,1,23,9.0,14,2808.3025176380756,260.0,balanced
2026-01-15,7X,0,0,8.5,11,1016.102858101813,260.0,balanced
2026-01-15,7X,0,1,8.5,7,382.2032730806595,260.0,balanced
2026-01-15,7X,0,2,8.5,5,241.7543987513804,260.0,balanced
2026-01-15,7X,0,3,8.5,6,288.09183539746755,260.0,balanced
2026-01-15,7X,0,4,8.5,9,706.9774492771675,260.0,balanced
2026-01-15,7X,0,5,8.5,13,2478.788718832362,260.0,balanced
2026-01-15,7X,0,6,8.5,13,6075.699328807008,260.0,balanced
